key,name,notes,hours,kind,key:report
# base entity
audit-section-00,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
# name - standard variations,"","","",""
audit-section-01,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-02,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-05,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-06,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-07,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-08,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-09,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
audit-section-10,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-00
# name - no singular values
# notes - standard variations
audit-section-11,"Lorem ipsum dolor sit amet, consectetu",L,50,PRELIMINARY,audit-report-00
audit-section-12,"Lorem ipsum dolor sit amet, consectetu",Lo,50,PRELIMINARY,audit-report-00
audit-section-13,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",50,PRELIMINARY,audit-report-00
audit-section-14,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",50,PRELIMINARY,audit-report-00
audit-section-15,"Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,50,PRELIMINARY,audit-report-00
audit-section-16,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,50,PRELIMINARY,audit-report-00
audit-section-17,"Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,50,PRELIMINARY,audit-report-00
audit-section-18,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,50,PRELIMINARY,audit-report-00
audit-section-19,"Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,50,PRELIMINARY,audit-report-00
audit-section-20,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,50,PRELIMINARY,audit-report-00
# notes - no singular values
# hours - standard variations
audit-section-21,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1,PRELIMINARY,audit-report-00
audit-section-22,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2,PRELIMINARY,audit-report-00
audit-section-23,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9999,PRELIMINARY,audit-report-00
audit-section-24,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10000,PRELIMINARY,audit-report-00
# hours - no singular values
# kind - standard variations
audit-section-25,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,EVALUATION,audit-report-00
audit-section-26,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,CONCLUSION,audit-report-00
# kind - no singular values
# audit-report - standard variations
audit-section-27,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,PRELIMINARY,audit-report-49
audit-section-28,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50,EVALUATION,audit-report-50
audit-section-29,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",500,PRELIMINARY,audit-report-51
audit-section-30,"Lorem ipsum dolor sit amet, consectetu",Lo,50,PRELIMINARY,audit-report-52
