key,name,notes,money,kind,key:sponsorship
# base entity
donation-01,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
# name - standard variations
donation-02,"L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-03,"Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-06,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-07,"لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-08,"洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-09,"<marquee>Hacked</marquee>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-10,"<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
donation-11,"' or 'A' = 'A ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-01
# name - no singular values
# notes - standard variations
donation-13,"Lorem ipsum dolor sit amet, consectetu","L",EUR 500.00,ALTRUIST,sponsorship-01
donation-14,"Lorem ipsum dolor sit amet, consectetu","Lo",EUR 500.00,ALTRUIST,sponsorship-01
donation-15,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",EUR 500.00,ALTRUIST,sponsorship-01
donation-16,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",EUR 500.00,ALTRUIST,sponsorship-01
donation-17,"Lorem ipsum dolor sit amet, consectetu","โลเร็ม อิปซัม",EUR 500.00,ALTRUIST,sponsorship-01
donation-18,"Lorem ipsum dolor sit amet, consectetu","لوريم إيبسوم",EUR 500.00,ALTRUIST,sponsorship-01
donation-19,"Lorem ipsum dolor sit amet, consectetu","洛伦·伊普森",EUR 500.00,ALTRUIST,sponsorship-01
donation-20,"Lorem ipsum dolor sit amet, consectetu","<marquee>Hacked</marquee>",EUR 500.00,ALTRUIST,sponsorship-01
donation-21,"Lorem ipsum dolor sit amet, consectetu","<script>alert(‘Hacked!’);</script>",EUR 500.00,ALTRUIST,sponsorship-01
donation-22,"Lorem ipsum dolor sit amet, consectetu","' or 'A' = 'A ",EUR 500.00,ALTRUIST,sponsorship-01
# notes - no singular values
# money - standard variations
donation-23,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.01,ALTRUIST,sponsorship-01
donation-24,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.02,ALTRUIST,sponsorship-01
donation-25,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 999999.99,ALTRUIST,sponsorship-01
donation-26,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 1000000.00,ALTRUIST,sponsorship-01
# money - no singular values
# kind - standard variations
donation-27,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,REWARDED,sponsorship-01
donation-28,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,CELEBRATED,sponsorship-01
# kind - no singular values
# sponsorship - standard variations
donation-29,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.00,ALTRUIST,sponsorship-50

